id_top,topic,keyword,number,normal,max
t5_s2,Treatment regimens,peru,15,48,31
t5_s2,Treatment regimens,drugs,15,48,31
t5_s2,Treatment regimens,outcomes,14,45,31
t5_s2,Treatment regimens,efficacy,14,45,31
t5_s2,Treatment regimens,short-course chemotherapy,13,41,31
t5_s2,Treatment regimens,rifampicin,13,41,31
t5_s2,Treatment regimens,chemotherapy,11,35,31
t5_s2,Treatment regimens,cohort,11,35,31
t5_s2,Treatment regimens,tolerability,10,32,31
t5_s2,Treatment regimens,regimens,10,32,31
t5_s2,Treatment regimens,risk-factors,10,32,31
t5_s2,Treatment regimens,south-africa,9,29,31
t5_s2,Treatment regimens,impact,8,25,31
t5_s2,Treatment regimens,xdr-tb,8,25,31
t5_s3,Risk factors,risk-factors,23,100,23
t5_s3,Risk factors,pulmonary tb,21,91,23
t5_s3,Risk factors,drug-resistance,16,69,23
t5_s3,Risk factors,treatment outcomes,16,69,23
t5_s3,Risk factors,therapy,14,60,23
t5_s3,Risk factors,metaanalysis,14,60,23
t5_s3,Risk factors,south-africa,13,56,23
t5_s3,Risk factors,impact,12,52,23
t5_s3,Risk factors,predictors,10,43,23
t5_s3,Risk factors,cohort,10,43,23
t5_s3,Risk factors,epidemiology,10,43,23
t5_s3,Risk factors,hiv-infection,9,39,23
t5_s3,Risk factors,mortality,9,39,23
t5_s3,Risk factors,default,8,34,23
t5_s3,Risk factors,surveillance,8,34,23
t5_s3,Risk factors,transmission,7,30,23
t5_s3,Risk factors,drugs,7,30,23
t5_s3,Risk factors,anti-tb,7,30,23
t5_s3,Risk factors,prevalence,7,30,23
t5_s3,Risk factors,hiv,7,30,23
t5_s5,Resistance prevalence,pulmonary tb,9,100,9
t5_s5,Resistance prevalence,drug-resistance,9,100,9
t5_s5,Resistance prevalence,prevalence,9,100,9
t5_s5,Resistance prevalence,outcomes,7,77,9
t5_s5,Resistance prevalence,risk-factors,7,77,9
t5_s5,Resistance prevalence,infection,6,66,9
t5_s5,Resistance prevalence,impact,5,55,9
t5_s5,Resistance prevalence,epidemiology,5,55,9
t5_s5,Resistance prevalence,anti-tb,4,44,9
t5_s5,Resistance prevalence,new-york,4,44,9
t5_s5,Resistance prevalence,mellitus,3,33,9
t5_s5,Resistance prevalence,surveillance,3,33,9
t5_s5,Resistance prevalence,prison,3,33,9
t5_s5,Resistance prevalence,europe,3,33,9
t5_s5,Resistance prevalence,russia,3,33,9
t5_s5,Resistance prevalence,countries,3,33,9
t5_s5,Resistance prevalence,multidrug-resistant,3,33,9
t5_s5,Resistance prevalence,transmission,3,33,9
t5_s5,Resistance prevalence,hiv-infection,3,33,9
t5_s5,Resistance prevalence,rifampicin,3,33,9
