id_top,topic,keyword,number,normal,max
t1_s5,2nd line regimens,drug-resistance,6,75,8
t1_s5,2nd line regimens,xdr-tb,6,75,8
t1_s5,2nd line regimens,multidrug-resistant,6,75,8
t1_s5,2nd line regimens,drugs,5,62,8
t1_s5,2nd line regimens,fluoroquinolones,4,50,8
t1_s5,2nd line regimens,linezolid,4,50,8
t1_s5,2nd line regimens,efflux pump,4,50,8
t1_s5,2nd line regimens,second-line drugs,3,37,8
t1_s5,2nd line regimens,proteomics,3,37,8
t1_s5,2nd line regimens,inhibitors,3,37,8
t1_s5,2nd line regimens,moxifloxacin,3,37,8
t1_s5,2nd line regimens,mycobacteria,3,37,8
t1_s5,2nd line regimens,rifampicin,3,37,8
t1_s5,2nd line regimens,synergy,3,37,8
t1_s5,2nd line regimens,anti-tb,3,37,8
t1_s5,2nd line regimens,lc-ms/ms,2,25,8
t1_s5,2nd line regimens,isoniazid,2,25,8
t1_s5,2nd line regimens,antimycobacterial,2,25,8
t1_s5,2nd line regimens,mass-spectrometry,2,25,8
t1_s6,New compounds,activity,33,100,33
t1_s6,New compounds,anti-tb,32,96,33
t1_s6,New compounds,antimycobacterial,30,90,33
t1_s6,New compounds,antitubercular agents,6,18,33
t1_s6,New compounds,xdr-tb,5,15,33
t1_s6,New compounds,pharmacophore,4,12,33
t1_s6,New compounds,pyrazolines,4,12,33
t1_s6,New compounds,"1,3-dipolar cycloaddition",4,12,33
t1_s6,New compounds,molecular docking,4,12,33
t1_s6,New compounds,structure-activity relationship,4,12,33
t1_s6,New compounds,drug-resistance,3,9,33
t1_s6,New compounds,h37rv,3,9,33
t1_s6,New compounds,isoniazid,3,9,33
t1_s6,New compounds,dna gyrase,3,9,33
t1_s6,New compounds,azomethine ylide,3,9,33
t1_s6,New compounds,inhibitors,3,9,33
t1_s6,New compounds,drugs,3,9,33
t1_s6,New compounds,isatin,3,9,33
t1_s6,New compounds,antibacterial activity,2,6,33
t1_s6,New compounds,inha,2,6,33
t5_s2,Treatment regimens,treatment outcomes,21,100,21
t5_s2,Treatment regimens,multidrug-resistant,21,100,21
t5_s2,Treatment regimens,outcomes,16,76,21
t5_s2,Treatment regimens,xdr-tb,15,71,21
t5_s2,Treatment regimens,treatment,14,66,21
t5_s2,Treatment regimens,drug-resistance,12,57,21
t5_s2,Treatment regimens,linezolid,10,47,21
t5_s2,Treatment regimens,hiv,9,42,21
t5_s2,Treatment regimens,adverse events,7,33,21
t5_s2,Treatment regimens,diabetes mellitus,6,28,21
t5_s2,Treatment regimens,dst,6,28,21
t5_s2,Treatment regimens,mortality,5,23,21
t5_s2,Treatment regimens,retreatment,5,23,21
t5_s2,Treatment regimens,drugs,4,19,21
t5_s2,Treatment regimens,resistance,4,19,21
t5_s2,Treatment regimens,drug-resistant tb,4,19,21
t5_s2,Treatment regimens,iran,3,14,21
t5_s2,Treatment regimens,adverse reactions,3,14,21
t5_s2,Treatment regimens,side effects,3,14,21
t5_s2,Treatment regimens,standardized regimens,3,14,21
t5_s3,Risk factors,treatment outcomes,13,100,13
t5_s3,Risk factors,hiv,12,92,13
t5_s3,Risk factors,risk-factors,9,69,13
t5_s3,Risk factors,multidrug-resistant,9,69,13
t5_s3,Risk factors,mortality,8,61,13
t5_s3,Risk factors,drug-resistance,8,61,13
t5_s3,Risk factors,xdr-tb,7,53,13
t5_s3,Risk factors,outcomes,5,38,13
t5_s3,Risk factors,south-africa,4,30,13
t5_s3,Risk factors,drug-resistant tb,4,30,13
t5_s3,Risk factors,survival,4,30,13
t5_s3,Risk factors,patient,3,23,13
t5_s3,Risk factors,death,3,23,13
t5_s3,Risk factors,human-immunodeficiency-virus,3,23,13
t5_s3,Risk factors,antiretroviral therapy,3,23,13
t5_s3,Risk factors,fluoroquinolones,2,15,13
t5_s3,Risk factors,survival rate,2,15,13
t5_s3,Risk factors,diabetes mellitus,2,15,13
t5_s3,Risk factors,mdr,2,15,13
t5_s3,Risk factors,coinfection,2,15,13
t5_s5,Resistance prevalence,drug-resistance,14,100,14
t5_s5,Resistance prevalence,multidrug-resistant,10,71,14
t5_s5,Resistance prevalence,hiv,7,50,14
t5_s5,Resistance prevalence,thailand,5,35,14
t5_s5,Resistance prevalence,risk-factors,4,28,14
t5_s5,Resistance prevalence,prevalence,4,28,14
t5_s5,Resistance prevalence,outcomes,3,21,14
t5_s5,Resistance prevalence,china,3,21,14
t5_s5,Resistance prevalence,diabetes,3,21,14
t5_s5,Resistance prevalence,diabetes mellitus,3,21,14
t5_s5,Resistance prevalence,pulmonary tb,3,21,14
t5_s5,Resistance prevalence,dst,3,21,14
t5_s5,Resistance prevalence,russia,2,14,14
t5_s5,Resistance prevalence,drugs,2,14,14
t5_s5,Resistance prevalence,immigration,2,14,14
t5_s5,Resistance prevalence,survey,2,14,14
t5_s5,Resistance prevalence,previously-treated,2,14,14
t5_s5,Resistance prevalence,prison,2,14,14
t5_s5,Resistance prevalence,clinical outcomes,1,7,14
t5_s5,Resistance prevalence,retreatment cases,1,7,14
