"id_top"	"id"	"name"	"wdegree"	"publications"	"rank_year_cited_pubmed_title"	"ids"
"27"	"au6192x_mig"	"Migliori, GB"	"332"	"38"	"[[7,2017,2,27836793,""European policies in the management of tuberculosis among mi""],[4,2017,1,27916675,""Shifting from tuberculosis control to elimination: Where are""],[10,2017,4,27818361,""Classifying new anti-tuberculosis drugs: rationale and futur""],[7,2017,2,27816662,""Applicability of the shorter Bangladesh regimen in high mult""],[3,2013,197,23100499,""Resistance to fluoroquinolones and second-Line injectable dr""],[21,2012,175,22496332,""Efficacy safety and tolerability of linezolid containing reg""],[12,2013,9,24194919,""High Rate of Hypothyroidism in Multidrug-Resistant Tuberculo""],[28,2013,143,23531391,""Tuberculosis 2013:5 Drug-resistant tuberculosis: time for vi""],[1,2007,148,17690121,""Clinical and operational value of the extensively drug-resis""],[15,2017,8,null,""Effectiveness and safety of clofazimine in multidrug-resista""],[10,2005,27,15875921,""Management of multidrug-resistant tuberculosis in Italy""],[1,2002,58,12365571,""Frequency of recurrence among MDR-TB cases successfully trea""],[3,2017,1,28089216,""Diabetes is Associated with Severe Adverse Events in Multidr""],[64,2017,13,null,""Effectiveness and safety of bedaquiline-containing regimens ""],[21,2016,4,27587552,""Multidrug-resistant tuberculosis treatment failure detection""],[38,2016,37,26965290,""Effectiveness and safety of meropenem/clavulanate-containing""],[8,2006,27,16469488,""Long-term moxifloxacin in complicated tuberculosis patients ""],[3,2008,82,18976552,""Multidrug- and Extensively Drug-Resistant Tuberculosis Germa""],[1,2008,38,19352448,""Diagnosis of multidrug-resistant tuberculosis and extensivel""],[3,2008,4,18437855,""Evaluation of the GenoCard as a tool for transport and stora""]]"	"[""10.1016_j.ijid.2016.11.002"",""10.1016_j.ijid.2016.11.416"",""10.1016_j.ijid.2016.10.026"",""10.1016_j.ijid.2016.10.021"",""10.1183_09031936.00134712"",""10.1183_09031936.00022912"",""10.1371_journal.pone.0078313"",""10.1016_S1473_3099_13_70030_6"",""10.1183_09031936.00077307"",""10.1183_13993003.02445_2016"",""pub-1871"",""pub-1969"",""10.1016_j.arbres.2016.10.021"",""10.1183_13993003.00387_2017"",""10.1183_13993003.00462_2016"",""10.1183_13993003.02146_2015"",""10.1016_j.rmed.2006.01.002"",""10.3201_eid1411.080729"",""10.1155_2008_857901"",""pub-1725""]"
"27"	"au10817x_zig"	"Zignol, M"	"164"	"27"	"[[12,2009,18,20041140,""Ambulatory-Based Standardized Therapy for Multi-Drug Resista""],[3,2012,8,22249242,""Multidrug Resistance Among New Tuberculosis Cases Detecting ""],[1,2012,158,22423162,""Surveillance of anti-tuberculosis drug resistance in the wor""],[5,2015,41,25261327,""Multidrug-resistant tuberculosis around the world: what prog""],[9,2012,102,22005924,""Alarming levels of drug-resistant tuberculosis in Belarus: r""],[1,2006,378,16845631,""Global incidence of multidrug-resistant tuberculosis""],[3,2016,1,27167381,""Use of Lot Quality Assurance Sampling to Ascertain Levels of""],[9,2016,2,27003160,""The Burden of Drug-Resistant Tuberculosis in Papua New Guine""],[11,2013,21,23459478,""Epidemiology of Antituberculosis Drug Resistance in Saudi Ar""],[12,2013,67,23397349,""Multidrug-resistant tuberculosis in Belarus: the size of the""],[9,2013,12,23621911,""Multidrug-Resistant Tuberculosis Somalia 2010-2011""],[15,2012,52,22789497,""Predictors of poor outcomes among patients treated for multi""],[7,2017,0,29247181,""Culture and Next-generation sequencing-based drug susceptibi""],[8,2013,24,23100496,""Assessing spatial heterogeneity of multidrug-resistant tuber""],[1,2013,35,23222872,""Multidrug-resistant tuberculosis in children: evidence from ""],[2,2013,143,23531391,""Tuberculosis 2013:5 Drug-resistant tuberculosis: time for vi""],[2,2016,1,27287635,""Sputum smear microscopy result: a predictor for drug-resista""],[7,2016,7,26970152,""Use of Xpert R MTB/RIF assay in the first national anti-tube""],[7,2013,13,null,""Multidrug-resistant tuberculosis in Uzbekistan: results of a""],[8,2013,16,23485384,""Multidrug resistance in new tuberculosis patients: burden an""]]"	"[""10.1371_journal.pone.0008313"",""10.1097_EDE.0b013e3182459455"",""10.2471_BLT.11.092585"",""10.1183_09031936.00101814"",""10.1183_09031936.00145411"",""10.1086_505877"",""10.1371_journal.pone.0154142"",""10.1371_journal.pone.0149806"",""10.1128_AAC.02403_12"",""10.2471_BLT.12.104588"",""10.3201_eid1903.121287"",""10.1016_j.tube.2012.06.003"",""10.1038_s41598_017_17705_3"",""10.1183_09031936.00111812"",""10.1183_09031936.00175812"",""10.1016_S1473_3099_13_70030_6"",""10.5588_ijtld.15.0977"",""10.5588_ijtld.15.0645"",""10.2807_1560_7917.ES2013.18.42.20609"",""10.5588_ijtld.12.0286""]"
"27"	"au10847x_zum"	"Zumla, A"	"160"	"23"	"[[7,2016,3,27509173,""Clinical Impact of the Xpert MTB/RIF Assay in Patients With ""],[11,2016,4,26969406,""Taking forward the World TB Day 2016 theme Unite to End Tube""],[7,2016,4,27118858,""Exposed but Not Protected: More Is Needed to Prevent Drug-Re""],[1,2016,4,26873277,""Tuberculosis and mass gatherings-opportunities for defining ""],[37,2016,37,26965290,""Effectiveness and safety of meropenem/clavulanate-containing""],[11,2017,0,28779436,""Outcomes of multidrug-resistant tuberculosis in Zambia: a co""],[63,2017,13,null,""Effectiveness and safety of bedaquiline-containing regimens ""],[9,2017,4,27818361,""Classifying new anti-tuberculosis drugs: rationale and futur""],[6,2017,2,27816662,""Applicability of the shorter Bangladesh regimen in high mult""],[6,2017,2,27836793,""European policies in the management of tuberculosis among mi""],[3,2017,1,27916675,""Shifting from tuberculosis control to elimination: Where are""],[11,2013,15,23834035,""Use of the XpertR MTB/RIF assay for diagnosing pulmonary tub""],[31,2013,143,23531391,""Tuberculosis 2013:5 Drug-resistant tuberculosis: time for vi""],[10,2013,21,23459478,""Epidemiology of Antituberculosis Drug Resistance in Saudi Ar""],[10,2013,7,23243079,""Trends in Childhood Tuberculosis in Zambia: A Situation Anal""],[20,2012,175,22496332,""Efficacy safety and tolerability of linezolid containing reg""],[17,2012,25,22848401,""Evaluation of the Burden of Unsuspected Pulmonary Tuberculos""],[7,2015,13,25809753,""Cellular therapy in Tuberculosis""],[6,2015,10,25809768,""Perspectives on tuberculosis in pregnancy""],[20,2015,16,25809771,""Why healthcare workers are sick of TB""]]"	"[""10.1097_QAI.0000000000001110"",""10.1016_j.ijid.2016.03.003"",""10.1093_cid_ciw037"",""10.1016_j.ijid.2016.02.003"",""10.1183_13993003.02146_2015"",""10.1007_s15010_017_1054_8"",""10.1183_13993003.00387_2017"",""10.1016_j.ijid.2016.10.026"",""10.1016_j.ijid.2016.10.021"",""10.1016_j.ijid.2016.11.002"",""10.1016_j.ijid.2016.11.416"",""10.1111_tmi.12145"",""10.1016_S1473_3099_13_70030_6"",""10.1128_AAC.02403_12"",""10.1093_tropej_fms065"",""10.1183_09031936.00022912"",""10.1371_journal.pone.0040774"",""10.1016_j.ijid.2015.01.016"",""10.1016_j.ijid.2014.12.014"",""10.1016_j.ijid.2014.12.003""]"
"27"	"au2627x_fal"	"Falzon, D"	"129"	"23"	"[[5,2004,47,15200821,""Multidrug-resistant tuberculosis in central Asia""],[1,2006,19,16964783,""In the European Union TB patients from former Soviet countri""],[20,2013,13,null,""Multidrug-resistant tuberculosis in Uzbekistan: results of a""],[2,2013,16,23485384,""Multidrug resistance in new tuberculosis patients: burden an""],[1,2011,322,21828024,""WHO guidelines for the programmatic management of drug-resis""],[13,2016,4,27587552,""Multidrug-resistant tuberculosis treatment failure detection""],[6,2012,29,23107633,""Predictors of sputum culture conversion among patients treat""],[6,2011,7,22008772,""Frequency and type of microbiological monitoring of multidru""],[1,2015,41,25261327,""Multidrug-resistant tuberculosis around the world: what prog""],[7,2012,52,22789497,""Predictors of poor outcomes among patients treated for multi""],[18,2012,253,22952439,""Multidrug Resistant Pulmonary Tuberculosis Treatment Regimen""],[3,2013,12,23621911,""Multidrug-Resistant Tuberculosis Somalia 2010-2011""],[4,2009,18,20041140,""Ambulatory-Based Standardized Therapy for Multi-Drug Resista""],[3,2012,158,22423162,""Surveillance of anti-tuberculosis drug resistance in the wor""],[5,2014,25,24384902,""Safety and availability of clofazimine in the treatment of m""],[15,2017,0,28628669,""The Global Fund in China: Multidrug-resistant tuberculosis n""],[11,2017,1,null,""Effectiveness and safety of standardised shorter regimens fo""],[5,2017,0,29247181,""Culture and Next-generation sequencing-based drug susceptibi""],[6,2016,3,27855693,""Modelling the effect of short-course multidrug-resistant tub""],[5,2013,10,23457502,""A Systematic Review of Reported Cost for Smear and Culture T""]]"	"[""10.3201_eid1005.030718"",""pub-1806"",""10.2807_1560_7917.ES2013.18.42.20609"",""10.5588_ijtld.12.0286"",""10.1183_09031936.00073611"",""10.1183_13993003.00462_2016"",""10.5588_ijtld.11.0811"",""10.5588_ijtld.11.0101"",""10.1183_09031936.00101814"",""10.1016_j.tube.2012.06.003"",""10.1371_journal.pmed.1001300"",""10.3201_eid1903.121287"",""10.1371_journal.pone.0008313"",""10.2471_BLT.11.092585"",""10.1136_bmjopen_2013_004143"",""10.1371_journal.pone.0177536"",""10.1183_13993003.00061_2017"",""10.1038_s41598_017_17705_3"",""10.1186_s12916_016_0723_2"",""10.1371_journal.pone.0056074""]"
"27"	"au3898x_isa"	"Isaakidis, P"	"95"	"17"	"[[9,2016,8,26970149,""Re-inventing adherence: toward a patient-centered model of c""],[2,2014,6,25517815,""Im fed up: experiences of prior anti-tuberculosis treatment ""],[5,2013,7,23687908,""Ocular inflammatory disease and ocular tuberculosis in a coh""],[1,2013,18,23894358,""Poor Outcomes in a Cohort of HIV-Infected Adolescents Underg""],[1,2012,40,22792406,""Adverse Events among HIV/MDR-TB Co-Infected Patients Receivi""],[2,2015,8,26167891,""Loss-To-Follow-Up on Multidrug Resistant Tuberculosis Treatm""],[2,2016,11,27118853,""Infection Control for Drug-Resistant Tuberculosis: Early Dia""],[2,2016,6,26959366,""When Treatment Is More Challenging than the Disease: A Quali""],[2,2013,9,24194919,""High Rate of Hypothyroidism in Multidrug-Resistant Tuberculo""],[1,2013,23,23837468,""I cry every day: experiences of patients co-infected with HI""],[2,2014,2,null,""HIV multidrug-resistant TB and depressive symptoms: when thr""],[2,2014,13,24722139,""Intensive-Phase Treatment Outcomes among Hospitalized Multid""],[1,2011,36,22145022,""Ambulatory Multi-Drug Resistant Tuberculosis Treatment Outco""],[2,2015,4,25781958,""Doing No Harm Adverse Events in a Nation-Wide Cohort of Pati""],[2,2015,5,26110273,""The Multi-Drug Resistant Tuberculosis Diagnosis and Treatmen""],[1,2014,20,25333696,""Alarming Levels of Drug-Resistant Tuberculosis in HIV-Infect""],[13,2015,19,25606853,""Resistance Patterns among Multidrug-Resistant Tuberculosis P""]]"	"[""10.5588_ijtld.15.0360"",""10.5588_ijtld.14.0277"",""10.1186_1471_2334_13_225"",""10.1371_journal.pone.0068869"",""10.1371_journal.pone.0040781"",""10.1371_journal.pone.0132543"",""10.1093_cid_ciw012"",""10.1371_journal.pone.0150849"",""10.1371_journal.pone.0078313"",""10.1111_tmi.12146"",""10.3402_gha.v7.24912"",""10.1371_journal.pone.0094393"",""10.1371_journal.pone.0028066"",""10.1371_journal.pone.0120161"",""10.1371_journal.pone.0129155"",""10.1371_journal.pone.0110461"",""10.1371_journal.pone.0116798""]"
"27"	"au6141x_men"	"Menzies, D"	"85"	"14"	"[[10,2017,1,28225339,""Latent tuberculous infection in household contacts of multid""],[8,2011,2,21756511,""Global survey of national tuberculosis drug policies""],[5,2010,21,20843424,""Patient and family costs associated with tuberculosis includ""],[32,2017,12,null,""The epidemiology pathogenesis transmission diagnosis and man""],[20,2016,4,27587552,""Multidrug-resistant tuberculosis treatment failure detection""],[14,2013,197,23100499,""Resistance to fluoroquinolones and second-Line injectable dr""],[3,2017,3,null,""An updated systematic review and meta-analysis for treatment""],[12,2017,1,null,""Effectiveness and safety of standardised shorter regimens fo""],[5,2016,1,27022741,""Propensity Score-Based Approaches to Confounding by Indicati""],[6,2008,62,18511706,""Influence of multidrug resistance on tuberculosis treatment ""],[5,2014,4,23766335,""Comparing cost-effectiveness of standardised tuberculosis tr""],[3,2015,10,25915791,""Fluoroquinolone Therapy for the Prevention of Multidrug-Resi""],[37,2012,253,22952439,""Multidrug Resistant Pulmonary Tuberculosis Treatment Regimen""],[8,2017,3,null,""Group 5 drugs for multidrug-resistant tuberculosis: individu""]]"	"[""10.5588_ijtld.16.0576"",""10.5588_ijtld.10.0199"",""pub-1442"",""10.1016_S2213_2600_17_30079_6"",""10.1183_13993003.00462_2016"",""10.1183_09031936.00134712"",""10.1183_13993003.00803_2016"",""10.1183_13993003.00061_2017"",""10.1371_journal.pone.0151724"",""10.1164_rccm.200802_240OC"",""10.1183_09031936.00005613"",""10.1164_rccm.201501_0069OC"",""10.1371_journal.pmed.1001300"",""10.1183_13993003.00993_2016""]"
"27"	"au5020x_lan"	"Lange, C"	"81"	"16"	"[[5,2007,148,17690121,""Clinical and operational value of the extensively drug-resis""],[2,2016,5,26507429,""Personalized medicine for patients with MDR-TB""],[8,2016,5,27223622,""Programmatic Management of Drug-Resistant Tuberculosis: An U""],[3,2015,5,26614195,""Nosocomial transmission of multidrug-resistant tuberculosis""],[12,2015,8,26614196,""Beyond multidrug-resistant tuberculosis in Europe: a TBNET s""],[5,2012,60,22323578,""TB and MDR/XDR-TB in European Union and European Economic Ar""],[19,2012,131,22467723,""European Union Standards for Tuberculosis Care""],[4,2009,47,19925959,""Multidrug-Resistant and Extensively Drug-Resistant Tuberculo""],[11,2008,82,18976552,""Multidrug- and Extensively Drug-Resistant Tuberculosis Germa""],[3,2007,7,18075716,""Antibiotic drug-resistant tuberculosis""],[30,2015,22,25693485,""Multidrug-Resistant Tuberculosis in Europe 2010-2011""],[3,2015,10,25395035,""Availability price and affordability of anti-tuberculosis dr""],[32,2012,253,22952439,""Multidrug Resistant Pulmonary Tuberculosis Treatment Regimen""],[12,2013,197,23100499,""Resistance to fluoroquinolones and second-Line injectable dr""],[27,2017,12,null,""The epidemiology pathogenesis transmission diagnosis and man""],[3,2015,1,26445253,""Tuberculosis""]]"	"[""10.1183_09031936.00077307"",""10.1093_jac_dkv354"",""10.1371_journal.pone.0155968"",""10.5588_ijtld.15.0327"",""10.5588_ijtld.15.0274"",""10.1183_09031936.00170411"",""10.1183_09031936.00203811"",""10.1016_j.ccm.2009.08.015"",""10.3201_eid1411.080729"",""10.1007_s00063_007_1120_6"",""10.3201_eid2103.141343"",""10.1183_09031936.00124614"",""10.1371_journal.pmed.1001300"",""10.1183_09031936.00134712"",""10.1016_S2213_2600_17_30079_6"",""10.1055_s_0041_105904""]"
"27"	"au8943x_sot"	"Sotgiu, G"	"73"	"20"	"[[4,2003,0,null,""Detection of isoniazid and rifampin resistance in Mycobacter""],[2,2012,60,22323578,""TB and MDR/XDR-TB in European Union and European Economic Ar""],[9,2012,131,22467723,""European Union Standards for Tuberculosis Care""],[3,2016,37,26965290,""Effectiveness and safety of meropenem/clavulanate-containing""],[3,2015,5,26614181,""Clinical research in the treatment of tuberculosis: current ""],[3,2017,8,null,""Effectiveness and safety of clofazimine in multidrug-resista""],[7,2017,13,null,""Effectiveness and safety of bedaquiline-containing regimens ""],[11,2013,9,24194919,""High Rate of Hypothyroidism in Multidrug-Resistant Tuberculo""],[1,2017,2,27816662,""Applicability of the shorter Bangladesh regimen in high mult""],[1,2012,175,22496332,""Efficacy safety and tolerability of linezolid containing reg""],[4,2013,197,23100499,""Resistance to fluoroquinolones and second-Line injectable dr""],[61,2012,253,22952439,""Multidrug Resistant Pulmonary Tuberculosis Treatment Regimen""],[12,2012,40,22792406,""Adverse Events among HIV/MDR-TB Co-Infected Patients Receivi""],[1,2015,13,25809764,""Therapeutic drug monitoring: how to improve drug dosage and ""],[1,2015,6,24792579,""Facing multi-drug resistant tuberculosis""],[1,2015,18,25645397,""Delamanid OPC-67683 for treatment of multi-drug-resistant tu""],[5,2015,13,25809773,""Supporting clinical management of the difficult-to-treat TB ""],[8,2011,36,22145022,""Ambulatory Multi-Drug Resistant Tuberculosis Treatment Outco""],[4,2008,82,18976552,""Multidrug- and Extensively Drug-Resistant Tuberculosis Germa""],[3,2009,47,19925959,""Multidrug-Resistant and Extensively Drug-Resistant Tuberculo""]]"	"[""pub-1936"",""10.1183_09031936.00170411"",""10.1183_09031936.00203811"",""10.1183_13993003.02146_2015"",""10.5588_ijtld.15.0216"",""10.1183_13993003.02445_2016"",""10.1183_13993003.00387_2017"",""10.1371_journal.pone.0078313"",""10.1016_j.ijid.2016.10.021"",""10.1183_09031936.00022912"",""10.1183_09031936.00134712"",""10.1371_journal.pmed.1001300"",""10.1371_journal.pone.0040781"",""10.1016_j.ijid.2014.12.001"",""10.1016_j.pupt.2014.04.006"",""10.1586_14787210.2015.1011127"",""10.1016_j.ijid.2014.12.024"",""10.1371_journal.pone.0028066"",""10.3201_eid1411.080729"",""10.1016_j.ccm.2009.08.015""]"
"27"	"au1702x_cir"	"Cirillo, DM"	"70"	"11"	"[[8,2007,148,17690121,""Clinical and operational value of the extensively drug-resis""],[1,2004,6,null,""Direct rapid diagnosis of rifampicin-resistant M-tuberculosi""],[13,2012,131,22467723,""European Union Standards for Tuberculosis Care""],[11,2014,12,24903934,""Survey of tuberculosis drug resistance among Tibetan refugee""],[7,2012,60,22323578,""TB and MDR/XDR-TB in European Union and European Economic Ar""],[4,2008,4,18437855,""Evaluation of the GenoCard as a tool for transport and stora""],[11,2017,0,29247181,""Culture and Next-generation sequencing-based drug susceptibi""],[11,2015,34,25587993,""Revisiting susceptibility testing in MDR-TB by a standardize""],[6,2006,80,16825369,""Use of genotype MTBDR assay for molecular detection of rifam""],[11,2015,32,26179309,""Diagnostic Performance of the New Version v2.0 of GenoType M""],[11,2015,7,26246486,""Lab-on-Chip-Based Platform for Fast Molecular Diagnosis of M""]]"	"[""10.1183_09031936.00077307"",""pub-1904"",""10.1183_09031936.00203811"",""10.5588_ijtld.13.0516"",""10.1183_09031936.00170411"",""pub-1725"",""10.1038_s41598_017_17705_3"",""10.1093_jac_dku438"",""10.1128_JCM.00083_06"",""10.1128_JCM.01257_15"",""10.1128_JCM.01824_15""]"
"27"	"au1046x_bor"	"Borisov, SE"	"66"	"2"	"[[3,2007,16,17958983,""Social support and incentives programme for patients with tu""],[1,2017,13,null,""Effectiveness and safety of bedaquiline-containing regimens ""]]"	"[""pub-1742"",""10.1183_13993003.00387_2017""]"
