cid	cited	name	pid	pubmed	tid	title	year	last_name
MIGLIORI GB 2010 TROP MED INT HEALTH	34	Public health	10.1111_j.1365_3156.2010.02581.x	20545927.0	t2	Review of multidrug-resistant and extensively drug-resistant	2010	MIGLIORI
KANJEE Z 2011 J HOSP INFECT	28	Public health	10.1016_j.jhin.2011.06.017	21978608.0	t2	Tuberculosis infection control in rural South Africa: survey	2011	KANJEE
FLOYD K 2008 B WORLD HEALTH ORGAN	24	Public health	10.2471_BLT.07.049767	18670669.0	t2	Financial resources required for tuberculosis control to ach	2008	FLOYD
FARMER PE 2013 NEW ENGL J MED	19	Public health	10.1056_NEJMsa1310472	24350951.0	t2	Chronic Infectious Disease and the Future of Health Care Del	2013	FARMER
MEHRA M 2013 INT J TUBERC LUNG D	16	Public health	10.5588_ijtld.12.0959	23827732.0	t2	Assessment of tuberculosis burden in China using a dynamic d	2013	MEHRA
VON DELFT A 2015 INT J INFECT DIS	16	Public health	10.1016_j.ijid.2014.12.003	25809771.0	t2	Why healthcare workers are sick of TB	2015	VON
CONINX R 2007 B WORLD HEALTH ORGAN	14	Public health	10.2471_BLT.06.037630	17768523.0	t2	Tuberculosis in complex emergencies	2007	CONINX
GROBUSCH MP 2010 CURR OPIN PULM MED	13	Public health	10.1097_MCP.0b013e3283378680	20154624.0	t2	Drug-resistant and extensively drug-resistant tuberculosis i	2010	GROBUSCH
KORENROMP EL 2012 PLOS ONE	11	Public health	10.1371_journal.pone.0038816	22719954.0	t2	Implementing the Global Plan to Stop TB 2011-2015-Optimizing	2012	KORENROMP
ATRE SR 2005 J PUBLIC HEALTH POL	9	Public health	10.1057_palgrave.jphp_3200014	15906879.0	t2	Multidrug-resistant tuberculosis MDR-TB in India: An attempt	2005	ATRE
CRADDOCK S 2012 HEALTH PLACE	9	Public health	10.1016_j.healthplace.2011.05.004	22469533.0	t2	Drug partnerships and global practices	2012	CRADDOCK
SAMARANAYAKE LP 2002 INT DENT J	8	Public health	10.1002_j.1875_595X.2002.tb00880.x		t2	Re-emergence of tuberculosis and its variants: implications 	2002	SAMARANAYAKE
CHAUDHURY RR 2003 NATL MED J INDIA	6	Public health	pub-1933	14765625.0	t2	Beyond DOTS: Avenues ahead in the management of tuberculosis	2003	CHAUDHURY
HEIDEBRECHT CL 2011 INT J TUBERC LUNG D	6	Public health	10.5588_ijtld.10.0296	21682964.0	t2	Tuberculosis surveillance in Cape Town South Africa: an eval	2011	HEIDEBRECHT
JAKAB Z 2015 TUBERCULOSIS	6	Public health	10.1016_j.tube.2015.02.027	25829287.0	t2	Consolidated Action Plan to Prevent and Combat Multidrug- an	2015	JAKAB
EDGINTON ME 2010 INT J TUBERC LUNG D	4	Public health	pub-1455	20819252.0	t2	Surveillance for MDR-TB: is there an obligation to ensure tr	2010	EDGINTON
VON DELFT A 2016 CLIN INFECT DIS	4	Public health	10.1093_cid_ciw037	27118858.0	t2	Exposed but Not Protected: More Is Needed to Prevent Drug-Re	2016	VON
LONG Q 2016 INFECT DIS POVERTY	3	Public health	10.1186_s40249_016_0103_3	26822738.0	t2	Drug-resistant tuberculosis control in China: progress and c	2016	LONG
BARNARD M 2008 AM J RESP CRIT CARE	262	Diagnostics	10.1164_rccm.200709_1436OC	18202343.0	t3	Rapid molecular screening for multidrug-resistant tuberculos	2008	BARNARD
SHIFERAW G 2007 J CLIN MICROBIOL	53	Diagnostics	10.1128_JCM.01949_06	17251409.0	t3	Evaluation of microscopic observation drug susceptibility as	2007	SHIFERAW
SOLIS LA 2005 INT J TUBERC LUNG D	46	Diagnostics	pub-1861	16013771.0	t3	Validation of a rapid method for detection of M-tuberculosis	2005	SOLIS
EJIGU GS 2008 INT J TUBERC LUNG D	35	Diagnostics	pub-1713	18284841.0	t3	Microscopic-observation drug susceptibility assay provides r	2008	EJIGU
ROBLEDO J 2008 INT J TUBERC LUNG D	22	Diagnostics	pub-1645	19017461.0	t3	Rapid detection of rifampicin and isoniazid resistance in My	2008	ROBLEDO
YADAV RN 2013 PLOS ONE	21	Diagnostics	10.1371_journal.pone.0072036	24039735.0	t3	Comparative Evaluation of GenoType MTBDRplus Line Probe Assa	2013	YADAV
BWANGA F 2010 INT J TUBERC LUNG D	19	Diagnostics	pub-1471	20550774.0	t3	Evaluation of seven tests for the rapid detection of multidr	2010	BWANGA
BWANGA F 2011 PLOS ONE	16	Diagnostics	10.1371_journal.pone.0019565	21573015.0	t3	Direct Nitrate Reductase Assay versus Microscopic Observatio	2011	BWANGA
RIGOUTS L 2011 INT J TUBERC LUNG D	15	Diagnostics	10.5588_ijtld.10.0515	21682972.0	t3	Evaluation of the Genotype R MTBDRplus assay as a tool for d	2011	RIGOUTS
KURBATOVA EV 2013 EUR J CLIN MICROBIOL	13	Diagnostics	10.1007_s10096_012_1798_0	23263819.0	t3	Performance of CepheidA R Xpert MTB/RIFA R and TB-BiochipA R	2013	KURBATOVA
NATHAVITHARANA RR 2016 J CLIN MICROBIOL	12	Diagnostics	10.1128_JCM.00251_16	27076658.0	t3	Multicenter Noninferiority Evaluation of Hain GenoType MTBDR	2016	NATHAVITHARANA
HUANG ZK 2015 J ANTIMICROB CHEMOTH	10	Diagnostics	10.1093_jac_dku384	25266071.0	t3	Evaluation of the microscopic observation drug susceptibilit	2015	HUANG
MENDOZA A 2011 INT J TUBERC LUNG D	8	Diagnostics	pub-1401	21219684.0	t3	Reliability of the MODS assay decentralisation process in th	2011	MENDOZA
RASSLAN O 2012 INT J TUBERC LUNG D	7	Diagnostics	10.5588_ijtld.11.0547	22584201.0	t3	Microscopic observation drug susceptibility assay in the dia	2012	RASSLAN
UMUBYEYI AN 2006 INT J TUBERC LUNG D	7	Diagnostics	pub-1816	16848345.0	t3	Evaluation of the resazurin microtiter assay for rapid detec	2006	UMUBYEYI
CABIBBE AM 2015 J CLIN MICROBIOL	7	Diagnostics	10.1128_JCM.01824_15	26246486.0	t3	Lab-on-Chip-Based Platform for Fast Molecular Diagnosis of M	2015	CABIBBE
LAZARUS RP 2012 INDIAN J MED MICROBI	6	Diagnostics	10.4103_0255_0857.93039	22361763.0	t3	Evaluation of the microscopic observational drug susceptibil	2012	LAZARUS
CHEN C 2014 INT J TUBERC LUNG D	6	Diagnostics	10.5588_ijtld.13.0857	25189549.0	t3	Evaluation of the GenoType R MTBDRplus line probe assay on s	2014	CHEN
PIMKINA E 2015 RESP MED	2	Diagnostics	10.1016_j.rmed.2015.07.006	26403251.0	t3	The Xpert R MTB/RIF assay in routine diagnosis of pulmonary 	2015	PIMKINA
ARDIZZONI E 2015 INT J TUBERC LUNG D	2	Diagnostics	10.5588_ijtld.15.0136	26614200.0	t3	The thin-layer agar method for direct phenotypic detection o	2015	ARDIZZONI
MITNICK C 2003 NEW ENGL J MED	352	Treatment optimization	10.1056_NEJMoa022928	12519922.0	t5	Community-based therapy for multidrug-resistant tuberculosis	2003	MITNICK
AHUJA SD 2012 PLOS MED	253	Treatment optimization	10.1371_journal.pmed.1001300	22952439.0	t5	Multidrug Resistant Pulmonary Tuberculosis Treatment Regimen	2012	AHUJA
MITNICK CD 2008 NEW ENGL J MED	241	Treatment optimization	10.1056_NEJMoa0800106	18687637.0	t5	Comprehensive treatment of extensively drug-resistant tuberc	2008	MITNICK
LEIMANE V 2005 LANCET	204	Treatment optimization	pub-1889	15664227.0	t5	Clinical outcome of individualised treatment of multidrug-re	2005	LEIMANE
TAHAOGLU K 2001 NEW ENGL J MED	202	Treatment optimization	10.1056_NEJM200107193450303	11463011.0	t5	The treatment of multidrug-resistant tuberculosis in Turkey	2001	TAHAOGLU
FALZON D 2013 EUR RESPIR J	197	Treatment optimization	10.1183_09031936.00134712	23100499.0	t5	Resistance to fluoroquinolones and second-Line injectable dr	2013	FALZON
SOTGIU G 2012 EUR RESPIR J	175	Treatment optimization	10.1183_09031936.00022912	22496332.0	t5	Efficacy safety and tolerability of linezolid containing reg	2012	SOTGIU
PARK MM 1996 AM J RESP CRIT CARE	140	Treatment optimization	10.1164_ajrccm.153.1.8542137	8542137.0	t5	Outcome of MDR-TB patients 1983-1993 - Prolonged survival wi	1996	PARK
SANTHA T 2002 INT J TUBERC LUNG D	137	Treatment optimization	pub-1972	12234133.0	t5	Risk factors associated with default failure and death among	2002	SANTHA
ESPINAL MA 2001 INT J TUBERC LUNG D	127	Treatment optimization	pub-1992	11605880.0	t5	Determinants of drug-resistant tuberculosis: analysis of 11 	2001	ESPINAL
PARK IN 2006 J ANTIMICROB CHEMOTH	122	Treatment optimization	10.1093_jac_dkl298	16857689.0	t5	Efficacy and tolerability of daily-half dose linezolid in pa	2006	PARK
KIM DH 2008 AM J RESP CRIT CARE	115	Treatment optimization	10.1164_rccm.200801_132OC	18703792.0	t5	Treatment Outcomes and Long-term Survival in Patients with E	2008	KIM
PARK SK 1998 INT J TUBERC LUNG D	105	Treatment optimization	pub-2050	9848607.0	t5	Outcome of chemotherapy in 107 patients with pulmonary tuber	1998	PARK
KWON YS 2008 CLIN INFECT DIS	99	Treatment optimization	10.1086_590005	18611154.0	t5	Treatment outcomes for HIV-uninfected patients with multidru	2008	KWON
NATHANSON E 2004 INT J TUBERC LUNG D	96	Treatment optimization	pub-1896	15581210.0	t5	Adverse events in the treatment of multidrug-resistant tuber	2004	NATHANSON
BASHAR M 2001 CHEST	88	Treatment optimization	10.1378_chest.120.5.1514	11713128.0	t5	Increased incidence of multidrug-resistant tuberculosis in d	2001	BASHAR
CHIANG CY 2006 EUR RESPIR J	87	Treatment optimization	10.1183_09031936.06.00125705	16837502.0	t5	Outcome of pulmonary multidrug-resistant tuberculosis: a 6-y	2006	CHIANG
FURIN JJ 2001 INT J TUBERC LUNG D	83	Treatment optimization	pub-1997	11467371.0	t5	Occurrence of serious adverse effects in patients receiving 	2001	FURIN
TORUN T 2005 INT J TUBERC LUNG D	83	Treatment optimization	pub-1842	16468160.0	t5	Side effects associated with the treatment of multidrug-resi	2005	TORUN
EKER B 2008 EMERG INFECT DIS	82	Treatment optimization	10.3201_eid1411.080729	18976552.0	t5	Multidrug- and Extensively Drug-Resistant Tuberculosis Germa	2008	EKER
MULLER B 2011 INT J TUBERC LUNG D	38	Resistance genes	pub-1388	21333101.0	t1_s0	inhA promoter mutations: a gateway to extensively drug-resis	2011	MULLER
POUDEL A 2012 ANTIMICROB AGENTS CH	27	Resistance genes	10.1128_AAC.06418_11	22450970.0	t1_s0	Molecular Characterization of Multidrug-Resistant Mycobacter	2012	POUDEL
SCHILKE K 1999 INT J TUBERC LUNG D	26	Resistance genes	pub-2040	10423225.0	t1_s0	Universal pattern of RpoB gene mutations among multidrug-res	1999	SCHILKE
SHENG J 2008 J APPL MICROBIOL	21	Resistance genes	10.1111_j.1365_2672.2008.03815.x	18422555.0	t1_s0	Characterization of rpoB mutations associated with rifampin 	2008	SHENG
TORRES JN 2015 EMERG MICROBES INFEC	18	Resistance genes	10.1038_emi.2015.42	26251830.0	t1_s0	Novel katG mutations causing isoniazid resistance in clinica	2015	TORRES
BALLIF M 2012 BMC MICROBIOL	18	Resistance genes	10.1186_1471_2180_12_191	22943573.0	t1_s0	Drug resistance-conferring mutations in Mycobacterium tuberc	2012	BALLIF
KOZHAMKULOV U 2011 JPN J INFECT DIS	17	Resistance genes	pub-1359	21617314.0	t1_s0	Molecular Characterization of Rifampicin- and Isoniazid-Resi	2011	KOZHAMKULOV
BOONAIAM S 2010 CLIN MICROBIOL INFEC	17	Resistance genes	10.1111_j.1469_0691.2009.02838.x	19486070.0	t1_s0	Genotypic analysis of genes associated with isoniazid and et	2010	BOONAIAM
PERDIGAO J 2013 J ANTIMICROB CHEMOTH	16	Resistance genes	10.1093_jac_dks371	23054995.0	t1_s0	From multidrug-resistant to extensively drug-resistant tuber	2013	PERDIGAO
CHEN J 2012 BRAZ J INFECT DIS	15	Resistance genes	pub-1220	22552454.0	t1_s0	Characterization of gyrA and gyrB mutations and fluoroquinol	2012	CHEN
KIEPIELA P 1998 MICROB DRUG RESIST	14	Resistance genes	10.1089_mdr.1998.4.263	9988044.0	t1_s0	Comparison of PCR-heteroduplex characterization by automated	1998	KIEPIELA
HU Y 2010 INT J TUBERC LUNG D	12	Resistance genes	pub-1519	20074413.0	t1_s0	Genetic characterisation of drug-resistant Mycobacterium tub	2010	HU
CHEN QY 2014 TUBERCULOSIS	12	Resistance genes	10.1016_j.tube.2013.03.004	24325872.0	t1_s0	Molecular characteristics of MDR Mycobacterium tuberculosis 	2014	CHEN
ZHAO LL 2014 ANTIMICROB AGENTS CH	11	Resistance genes	10.1128_AAC.01792_13	24419342.0	t1_s0	Molecular Characterization of Multidrug-Resistant Mycobacter	2014	ZHAO
AGDAMAG DMD 2003 INT J TUBERC LUNG D	9	Resistance genes	pub-1931	14598972.0	t1_s0	Characterization of clinical isolates of Mycobacterium tuber	2003	AGDAMAG
THIRUMURUGAN R 2015 J INFECT PUBLIC HEAL	7	Resistance genes	10.1016_j.jiph.2015.05.003	26117709.0	t1_s0	Molecular analysis of rpoB gene mutations in rifampicin resi	2015	THIRUMURUGAN
MANSON AL 2017 NAT GENET	6	Resistance genes	10.1038_ng.3767	28092681.0	t1_s0	Genomic analysis of globally diverse Mycobacterium tuberculo	2017	MANSON
RUEDA J 2015 ANTIMICROB AGENTS CH	6	Resistance genes	10.1128_AAC.01028_15	26369965.0	t1_s0	Genotypic Analysis of Genes Associated with Independent Resi	2015	RUEDA
HAEILI M 2014 INDIAN J MED MICROBI	2	Resistance genes	10.4103_0255_0857.142245	25297024.0	t1_s0	Rapid screening of rpoB and katG mutations in Mycobacterium 	2014	HAEILI
ISAKOVA ZT 2008 MOL GENET MICROBIOL+	0	Resistance genes	10.3103_S0891416808040083		t1_s0	Frequency of occurrence and types of mutations in the rpoB k	2008	ISAKOVA
MACHADO D 2012 PLOS ONE	90	2nd line resistance	10.1371_journal.pone.0034538	22493700.0	t1_s5	Contribution of Efflux to the Emergence of Isoniazid and Mul	2012	MACHADO
KHAN MY 2001 INT J ANTIMICROB AG	37	2nd line resistance	10.1016_S0924_8579_01_00298_9	11337231.0	t1_s5	Increasing resistance of M-tuberculosis to anti-TB drugs in 	2001	KHAN
ZVADA SP 2014 ANTIMICROB AGENTS CH	15	2nd line resistance	10.1128_AAC.01478_13	24189253.0	t1_s5	Moxifloxacin Population Pharmacokinetics and Model-Based Com	2014	ZVADA
SUNG N 2013 PHOTODIAGN PHOTODYN	9	2nd line resistance	10.1016_j.pdpdt.2013.09.001	24284129.0	t1_s5	Inactivation of multidrug resistant MDR-and extensively drug	2013	SUNG
JAIN A 2012 TUBERCULOSIS	9	2nd line resistance	10.1016_j.tube.2012.05.010	22789499.0	t1_s5	Pre-XDR  XDR in MDR and Ofloxacin and Kanamycin resistance i	2012	JAIN
RIKIMARU T 2002 INT J TUBERC LUNG D	8	2nd line resistance	pub-1971	12234131.0	t1_s5	Efficacy of common antiseptics against multidrug-resistant M	2002	RIKIMARU
ZHANG XB 2013 J ANTIMICROB CHEMOTH	7	2nd line resistance	10.1093_jac_dkt082	23539239.0	t1_s5	Co-occurrence of amikacin-resistant and -susceptible Mycobac	2013	ZHANG
DONG M 2011 SAUDI MED J	7	2nd line resistance	pub-1287	22057598.0	t1_s5	In vitro efficacy of acetohydroxyacid synthase inhibitors ag	2011	DONG
SRIVASTAVA S 2016 ANTIMICROB AGENTS CH	6	2nd line resistance	10.1128_AAC.00961_16	27458215.0	t1_s5	Amikacin Optimal Exposure Targets in the Hollow-Fiber System	2016	SRIVASTAVA
ALSULTAN A 2015 ANTIMICROB AGENTS CH	6	2nd line resistance	10.1128_AAC.00341_15	25870068.0	t1_s5	Limited Sampling Strategy and Target Attainment Analysis for	2015	ALSULTAN
YU X 2016 ANTIMICROB AGENTS CH	2	2nd line resistance	10.1128_AAC.00393_16	27324769.0	t1_s5	Wild-Type and Non-Wild-Type Mycobacterium tuberculosis MIC D	2016	YU
DE KNEGT GJ 2017 INT J ANTIMICROB AG	1	2nd line resistance	10.1016_j.ijantimicag.2016.11.027	28162983.0	t1_s5	Activity of moxifloxacin and linezolid against Mycobacterium	2017	DE
CHANG MJ 2017 INT J ANTIMICROB AG	0	2nd line resistance	10.1016_j.ijantimicag.2017.01.024	28408267.0	t1_s5	Population pharmacokinetics of moxifloxacin cycloserine p-am	2017	CHANG
VANT BOVENEINDVRUBLEUSKAYA N 2017 ANTIMICROB AGENTS CH	0	2nd line resistance	10.1128_AAC.00343_17		t1_s5	Pharmacokinetics of Levofloxacin in Multidrug-and Extensivel	2017	VANT
HANS S 2017 J GLOB ANTIMICROB RE	0	2nd line resistance	10.1016_j.jgar.2017.06.007	28735047.0	t1_s5	Sesamol exhibits potent antimycobacterial activity: Underlyi	2017	HANS
MORASKI GC 2011 ACS MED CHEM LETT	75	New compounds	10.1021_ml200036r	21691438.0	t1_s6	Advent of Imidazo12-apyridine-3-carboxamides with Potent Mul	2011	MORASKI
ESWARAN S 2010 EUR J MED CHEM	72	New compounds	10.1016_j.ejmech.2010.04.022	20537437.0	t1_s6	New quinoline derivatives: Synthesis and investigation of an	2010	ESWARAN
SRIRAM D 2006 BIOORG MED CHEM LETT	66	New compounds	10.1016_j.bmcl.2006.02.065	16554151.0	t1_s6	Gatifloxacin derivatives: Synthesis antimycobacterial activi	2006	SRIRAM
SRIRAM D 2006 J MED CHEM	56	New compounds	10.1021_jm060339h	16759086.0	t1_s6	Discovery of new antitubercular oxazolyl thiosemicarbazones	2006	SRIRAM
KARTHIKEYAN SV 2009 BIOORG MED CHEM LETT	54	New compounds	10.1016_j.bmcl.2009.04.029	19403307.0	t1_s6	A microwave-assisted facile regioselective Fischer indole sy	2009	KARTHIKEYAN
MORASKI GC 2012 BIOORGAN MED CHEM	51	New compounds	10.1016_j.bmc.2012.02.025	22391032.0	t1_s6	Generation and exploration of new classes of antitubercular 	2012	MORASKI
TEWARI N 2004 BIOORG MED CHEM LETT	44	New compounds	10.1016_j.bmcl.2003.11.020	14698152.0	t1_s6	Synthesis of galactopyranosyl amino alcohols as a new class 	2004	TEWARI
BALAMURUGAN K 2010 EUR J MED CHEM	37	New compounds	10.1016_j.ejmech.2009.11.011	19944499.0	t1_s6	A microwave-assisted facile regioselective Friedlander synth	2010	BALAMURUGAN
SRIRAM D 2007 J MED CHEM	36	New compounds	10.1021_jm700999n	17960928.0	t1_s6	Antimycobacterial activities of novel 1-Cyclopropyl/tert-but	2007	SRIRAM
DINAKARAN M 2008 BIOORG MED CHEM LETT	36	New compounds	10.1016_j.bmcl.2007.11.110	18068979.0	t1_s6	Novel ofloxacin derivatives: Synthesis antimycobacterial and	2008	DINAKARAN
SENTHILKUMAR P 2009 EUR J MED CHEM	33	New compounds	10.1016_j.ejmech.2008.02.031	18502542.0	t1_s6	Synthesis and antimycobacterial activities of novel 6-nitroq	2009	SENTHILKUMAR
SHELKE SN 2012 BIOORG MED CHEM LETT	31	New compounds	10.1016_j.bmcl.2012.06.072	22832312.0	t1_s6	Green synthesis and anti-infective activities of fluorinated	2012	SHELKE
MORBIDONI HR 2006 CHEM BIOL	28	New compounds	10.1016_j.chembiol.2006.01.005	16638535.0	t1_s6	Dual inhibition of mycobacterial fatty acid biosynthesis and	2006	MORBIDONI
DAS SK 2007 BIOORG MED CHEM LETT	26	New compounds	10.1016_j.bmcl.2007.07.089	17764933.0	t1_s6	Design synthesis and antitubercular activity of diarylmethyi	2007	DAS
DINAKARAN M 2008 BIOORGAN MED CHEM	25	New compounds	10.1016_j.bmc.2007.11.016	18304818.0	t1_s6	Antimycobacterial activities of novel 2-sub-3-fluoro/nitro-5	2008	DINAKARAN
RANJITH PK 2013 BIOORG MED CHEM LETT	22	New compounds	10.1016_j.bmcl.2013.06.072	23942420.0	t1_s6	Design and synthesis of positional isomers of 5 and 6-bromo-	2013	RANJITH
SENTHILKUMAR P 2009 BIOMED PHARMACOTHER	20	New compounds	10.1016_j.biopha.2007.10.004	18031974.0	t1_s6	Antimycobacterial activities of novel fluoroquinolones	2009	SENTHILKUMAR
SRIRAM D 2010 EUR J MED CHEM	18	New compounds	10.1016_j.ejmech.2009.09.033	19942326.0	t1_s6	Discovery of novel antitubercular 210-dihydro-4aH-chromeno32	2010	SRIRAM
SENTHILKUMAR P 2008 BIOORGAN MED CHEM	15	New compounds	10.1016_j.bmc.2007.11.050	18078756.0	t1_s6	Synthesis and antimycobacterial evaluation of newer 1-cyclop	2008	SENTHILKUMAR
TANG J 2015 ACS MED CHEM LETT	13	New compounds	10.1021_acsmedchemlett.5600176	26191372.0	t1_s6	Design Synthesis and Biological Evaluation of Pyrazolo15-apy	2015	TANG
MITNICK CD 2008 NEW ENGL J MED	241	Treatment regimens	10.1056_NEJMoa0800106	18687637.0	t5_s2	Comprehensive treatment of extensively drug-resistant tuberc	2008	MITNICK
TAHAOGLU K 2001 NEW ENGL J MED	202	Treatment regimens	10.1056_NEJM200107193450303	11463011.0	t5_s2	The treatment of multidrug-resistant tuberculosis in Turkey	2001	TAHAOGLU
SOTGIU G 2012 EUR RESPIR J	175	Treatment regimens	10.1183_09031936.00022912	22496332.0	t5_s2	Efficacy safety and tolerability of linezolid containing reg	2012	SOTGIU
PARK IN 2006 J ANTIMICROB CHEMOTH	122	Treatment regimens	10.1093_jac_dkl298	16857689.0	t5_s2	Efficacy and tolerability of daily-half dose linezolid in pa	2006	PARK
SCHECTER GF 2010 CLIN INFECT DIS	113	Treatment regimens	10.1086_648675	19947856.0	t5_s2	Linezolid in the Treatment of Multidrug-Resistant Tuberculos	2010	SCHECTER
PARK SK 1998 INT J TUBERC LUNG D	105	Treatment regimens	pub-2050	9848607.0	t5_s2	Outcome of chemotherapy in 107 patients with pulmonary tuber	1998	PARK
YEW WW 2003 CHEST	98	Treatment regimens	10.1378_chest.124.4.1476	14555582.0	t5_s2	Comparative roles of levofloxacin and ofloxacin in the treat	2003	YEW
TORUN T 2005 INT J TUBERC LUNG D	83	Treatment regimens	pub-1842	16468160.0	t5_s2	Side effects associated with the treatment of multidrug-resi	2005	TORUN
FURIN JJ 2001 INT J TUBERC LUNG D	83	Treatment regimens	pub-1997	11467371.0	t5_s2	Occurrence of serious adverse effects in patients receiving 	2001	FURIN
EKER B 2008 EMERG INFECT DIS	82	Treatment regimens	10.3201_eid1411.080729	18976552.0	t5_s2	Multidrug- and Extensively Drug-Resistant Tuberculosis Germa	2008	EKER
GEERLIGS WA 2000 INT J TUBERC LUNG D	77	Treatment regimens	pub-2017	10949328.0	t5_s2	Multidrug-resistant tuberculosis: long-term treatment outcom	2000	GEERLIGS
KRITSKI AL 1997 CHEST	67	Treatment regimens	10.1378_chest.111.5.1162	9149564.0	t5_s2	Retreatment tuberculosis cases - Factors associated with dru	1997	KRITSKI
ANGER HA 2010 J ANTIMICROB CHEMOTH	64	Treatment regimens	10.1093_jac_dkq017	20150181.0	t5_s2	Linezolid use for treatment of multidrug-resistant and exten	2010	ANGER
PARK SK 2004 INT J TUBERC LUNG D	56	Treatment regimens	pub-1918	15139476.0	t5_s2	Self-administered standardized regimens for multidrug-resist	2004	PARK
KOH WJ 2012 J ANTIMICROB CHEMOTH	53	Treatment regimens	10.1093_jac_dks078	22403262.0	t5_s2	Daily 300 mg dose of linezolid for multidrug-resistant and e	2012	KOH
NARITA M 2001 CHEST	52	Treatment regimens	10.1378_chest.120.2.343	11502627.0	t5_s2	Treatment experience of multidrug-resistant tuberculosis in 	2001	NARITA
TANG SJ 2015 EUR RESPIR J	48	Treatment regimens	10.1183_09031936.00035114	25234807.0	t5_s2	Efficacy safety and tolerability of linezolid for the treatm	2015	TANG
VAN DER WERF MJ 2012 EUR RESPIR J	44	Treatment regimens	10.1183_09031936.00125711	22005918.0	t5_s2	Multidrug resistance after inappropriate tuberculosis treatm	2012	VAN
