count,name,tid,year
13,Treatment optimization,t5,2003
15,Treatment optimization,t5,2004
21,Treatment optimization,t5,2005
18,Treatment optimization,t5,2006
17,Treatment optimization,t5,2007
27,Treatment optimization,t5,2008
35,Treatment optimization,t5,2009
33,Treatment optimization,t5,2010
55,Treatment optimization,t5,2011
57,Treatment optimization,t5,2012
61,Treatment optimization,t5,2013
53,Treatment optimization,t5,2014
69,Treatment optimization,t5,2015
63,Treatment optimization,t5,2016
61,Treatment optimization,t5,2017
1,Treatment regimens,t5_s2,1996
1,Treatment regimens,t5_s2,1997
2,Treatment regimens,t5_s2,1998
1,Treatment regimens,t5_s2,1999
1,Treatment regimens,t5_s2,2000
6,Treatment regimens,t5_s2,2001
2,Treatment regimens,t5_s2,2002
6,Treatment regimens,t5_s2,2003
4,Treatment regimens,t5_s2,2004
5,Treatment regimens,t5_s2,2005
4,Treatment regimens,t5_s2,2006
1,Treatment regimens,t5_s2,2007
6,Treatment regimens,t5_s2,2008
8,Treatment regimens,t5_s2,2009
7,Treatment regimens,t5_s2,2010
5,Treatment regimens,t5_s2,2011
14,Treatment regimens,t5_s2,2012
12,Treatment regimens,t5_s2,2013
5,Treatment regimens,t5_s2,2014
5,Treatment regimens,t5_s2,2015
7,Treatment regimens,t5_s2,2016
14,Treatment regimens,t5_s2,2017
